"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.07999992370605","","","6.44999980926514","","","7.44999980926514","","","6.92000007629395","6.90000009536743","","","","","","5.71000003814697","","","10.6000003814697","8.89999961853027","","","","","","",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.47000026702881","","","","","","8.22999954223633","","","","","","",
"Angola","AGO","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","14.1999998092651","14.8999996185303","18.8999996185303","","","","","","","","","","","","","","","","","","23.6399993896484","","","","","","","7.3600001335144","","","","","","",
"Albania","ALB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","5.59999990463257","5.09999990463257","3.59999990463257","4.40000009536743","5.69999980926514","6.69999980926514","6.40000009536743","6.09999990463257","7","7.30000019073486","9.5","9.10000038146973","26.5","22.2999992370605","18.3999996185303","12.8999996185303","12.3000001907349","14.8999996185303","17.7000007629395","18.3999996185303","16.7999992370605","22.6800003051758","15.8000001907349","15","14.3999996185303","14.1000003814697","13.8000001907349","13.5","13.0600004196167","13.6700000762939","14.0900001525879","13.4799995422363","13.3800001144409","15.8699998855591","17.4899997711182","17.0799999237061","15.2200002670288","",
"Andorra","AND","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.1351549782022","","","14.1056360215221","13.3542706089711","11.8990380832604","11.0185902049653","10.8454017618979","9.86491204301522","9.27341021273706","","10.2633427056768","","","","","","",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","1.96000003814697","","","","","","","","","","1.14999997615814","","","","","","","","","","1.79999995231628","","","","","2.25","","","","","3.11999988555908","","","4.01000022888184","4.16625213623047","","","","","","","1.63550198078156","",
"Argentina","ARG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","4.80000019073486","6","6.59999990463257","5.59999990463257","3.40000009536743","2.29999995231628","4.5","2.79999995231628","2.79999995231628","2","2.29999995231628","4.5","4.73000001907349","4.17000007629395","3.53999996185303","5.30000019073486","4.40000009536743","5.30000019073486","6","7.30000019073486","7.05999994277954","5.44000005722046","","10.1000003814697","11.7600002288818","18.7999992370605","17.1100006103516","14.8199996948242","12.6499996185303","14.0500001907349","15","17.3199996948242","19.5900001525879","15.3599996566772","13.5200004577637","11.5100002288818","10.0799999237061","8.47000026702881","7.84000015258789","8.64999961853027","7.71000003814697","7.17999982833862","7.21999979019165","7.09999990463257","7.26999998092651","","","",
"Armenia","ARM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79999995231628","5.30000019073486","6.59999990463257","6.69999980926514","9.30000019073486","10.8000001907349","9.39999961853027","11.1999998092651","","","","10.1000003814697","9.60000038146973","8.19999980926514","7.5","28.3400001525879","28.6000003814697","18.7399997711182","19.0100002288818","18.4400005340576","17.3099994659424","16.1800003051758","17.5","18.2600002288818","17.6200008392334","",
"American Samoa","ASM","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","12.9899997711182","17.2399997711182","19.0799999237061","14.8699998855591","13.789999961853","14.3500003814697","12.4099998474121","12.6099996566772","12.7799997329712","12.960000038147","13.1099996566772","13.289999961853","13.3800001144409","","","","5.1100001335144","","","","","","","","","","5.05000019073486","","","","","9.97999954223633","","","","","9.19999980926514","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","20.4599990844727","19.4599990844727","19.4500007629395","20.6900005340576","","","","","","","","","","","","","","","","","","","","","","","","","8.42000007629395","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","6.26000022888184","6.1100001335144","5.78000020980835","7.15999984741211","9.96000003814697","8.98999977111816","8.26000022888184","8.07999992370605","8.10999965667725","7.23000001907349","6.17000007629395","6.92999982833862","9.57999992370605","10.7299995422363","10.8699998855591","9.72000026702881","8.47000026702881","8.51000022888184","8.35999965667725","7.67999982833862","6.86999988555908","6.28000020980835","6.73999977111816","6.36999988555908","5.92999982833862","5.3899998664856","5.03000020980835","4.78000020980835","4.38000011444092","4.23000001907349","5.55999994277954","5.21000003814697","5.07999992370605","5.21999979019165","5.65999984741211","6.07999992370605","6.05999994277954","5.71000003814697","5.59000015258789",
"Austria","AUT","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","2.79999995231628","2.40000009536743","1.5","1.29999995231628","1.20000004768372","1.29999995231628","2","2","1.79999995231628","2.09999990463257","2","1.89999997615814","2.05999994277954","3.34999990463257","4.1100001335144","3.79999995231628","3.59999990463257","3.11999988555908","3.78999996185303","3.54999995231628","3.14000010490417","3.25","3.42000007629395","3.58999991416931","4.25","3.52999997138977","3.63000011444092","4.07000017166138","4.17999982833862","5.51999998092651","4.69999980926514","4.69000005722046","4.01000022888184","4.84999990463257","4.78000020980835","5.82999992370605","5.63000011444092","5.23999977111816","4.8600001335144","4.13000011444092","5.30000019073486","4.82000017166138","4.55999994277954","4.86999988555908","5.32999992370605","5.61999988555908","5.71999979019165","6.01000022888184","",
"Azerbaijan","AZE","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.109999999403954","0.170000001788139","0.519999980926514","0.649999976158142","0.800000011920929","0.899999976158142","1.02999997138977","1.12999999523163","16.25","11.8000001907349","10.8999996185303","10","9.25","8","7.30000019073486","6.61999988555908","6.53999996185303","6.05000019073486","5.73999977111816","5.63000011444092","5.42000007629395","5.19000005722046","4.96999979019165","4.90999984741211","4.96000003814697","5","",
"Burundi","BDI","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.479999989271164","","","","","","","","","14","","","","","","","","","","","","","","","1.57000005245209","","","",
"Belgium","BEL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","2.09999990463257","2.70000004768372","2.79999995231628","3","5.09999990463257","6.5","5.67000007629395","7.90000009536743","6.96000003814697","9.10000038146973","11.3500003814697","13","11.6599998474121","11.8800001144409","11.3199996948242","11.2799997329712","11.2600002288818","10.1300001144409","8.27999973297119","7.25","6.98999977111816","6.69999980926514","8.07999992370605","9.64999961853027","9.34000015258789","9.47999954223633","8.96000003814697","9.31999969482422","8.64999961853027","6.59000015258789","6.67000007629395","6.90999984741211","7.67999982833862","7.3600001335144","8.4399995803833","8.25","7.46000003814697","6.98000001907349","7.90999984741211","8.28999996185303","7.1399998664856","7.53999996185303","8.43000030517578","8.52000045776367","8.47999954223633","7.82999992370605","",
"Benin","BEN","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.180000007152557","","","","","","1.50999999046326","","","","","","","","","","0.689999997615814","","","","","","","","1.03999996185303","2.65000009536743","","","","","","",
"Burkina Faso","BFA","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.59999990463257","","","","2.5","","","","","2.77999997138977","","4","2.32999992370605","3.29999995231628","","","","","","","6.5","","","",
"Bangladesh","BGD","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","2.03999996185303","2.01999998092651","0.959999978542328","","","0.920000016689301","","2.20000004768372","","","","","2.50999999046326","","","","3.26999998092651","","","4.32000017166138","","4.25","3.58999991416931","","","5","3.38000011444092","","","4.42999982833862","","","4.34999990463257","",
"Bulgaria","BGR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.70000004768372","11.1000003814697","15.3000001907349","16.3999996185303","12.8000001907349","11.1000003814697","12.5","13.6999998092651","12.1999998092651","14.1000003814697","16.2199993133545","19.9200000762939","18.1100006103516","13.7299995422363","12.039999961853","10.0799999237061","8.94999980926514","6.88000011444092","5.6100001335144","6.82000017166138","10.2799997329712","11.2600002288818","12.2700004577637","12.9399995803833","11.4200000762939","9.14000034332275","7.57000017166138","",
"Bahrain","BHR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","3.09999990463257","","","","","","","","","","6.34999990463257","","","","","","","","","","5.5","","","9","","","5.59999990463257","3.70000004768372","4","1.12999999523163","1.23000001907349","1.20000004768372","","","","","",
"Bahamas, The","BHS","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","8.60000038146973","","21.2000007629395","","20.8600006103516","","14.6999998092651","","","","","","","12.0900001525879","","11.0200004577637","11.5900001525879","7.76999998092651","12.1700000762939","14.8000001907349","12.7200002670288","13.8299999237061","10.8299999237061","11.460000038147","9.76000022888184","7.65000009536743","7.44999980926514","","6.86999988555908","9.05000019073486","10.8400001525879","10.1999998092651","10.1999998092651","7.53999996185303","7.88000011444092","8.18000030517578","14.25","","14.5200004577637","14.0200004577637","16.1800003051758","","","","",
"Bosnia and Herzegovina","BIH","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.5499992370605","","","","","","","","","","","","","","","31.1000003814697","28.9300003051758","23.2999992370605","24.0300006866455","27.2000007629395","27.6000003814697","28.0499992370605","27.4500007629395","27.5200004577637","26.2600002288818","25.0599994659424","",
"Belarus","BLR","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0500000007450581","0.5","1.39999997615814","2.09999990463257","2.90000009536743","4","2.79999995231628","2.29999995231628","2.09999990463257","2.09999990463257","2.29999995231628","3","3.09999990463257","1.89999997615814","1.5","1.20000004768372","1","0.800000011920929","6.09999990463257","1.14999997615814","0.600000023841858","0.5","0.5","0.5","1","5.84000015258789","",
"Belize","BLZ","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.79999995231628","","9.77999973297119","11.1000003814697","12.4799995422363","13.8199996948242","12.6800003051758","14.3100004196167","12.8400001525879","","9.06999969482422","10.039999961853","","","10.9099998474121","9.39000034332275","8.51000022888184","8.18000030517578","","22.8700008392334","","14.2700004577637","11.6999998092651","11.5699996948242","9.97000026702881","7.90999984741211","",
"Bermuda","BMU","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.71000003814697","","","","","","","","","4.48000001907349","6.48999977111816","","8.4399995803833","6.65999984741211","8.9399995803833","","","",
"Bolivia","BOL","Unemployment, total (% of total labor force) (national estimate)","SL.UEM.TOTL.NE.ZS","","","","","","","","","","","","9","8.10000038146973","7.09999990463257","6.09999990463257","5.19999980926514","5.30000019073486","5.30000019073486","5.5","5.59999990463257","6.09999990463257","10.1599998474121","11.6000003814697","14.1899995803833","14.6599998474121","19.2800006866455","19.7600002288818","20.3199996948242","18","10.1000003814697","6.69000005722046","6.59000015258789","5.51999998092651","5.98999977111816","3.07999992370605","3.69000005722046","5.23000001907349","2.07999992370605","","3.9300000667572","4.46999979019165","5.23999977111816","5.48000001907349","","4.17000007629395","5.44999980926514","5.07999992370605","5.17999982833862","2.59999990463257","2.85999989509583","","2.22000002861023","2.04999995231628","2.39000010490417","2.00999999046326","3.0699999332428","","",
